Account,Date,Classification,daily_PnL,win_rate,avg_trade_size,num_trades,long_trades,short_trades,long_short_ratio,Trader_Type
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,Greed,-327505.900056,0.08633093525179857,14810.891818181817,462,0,0,0.0,Infrequent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,Fear,1927735.720035,0.8543628374136849,16345.241939809297,3356,0,0,0.0,Frequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,Greed,20607.446093000002,1.0,2492.74990625,320,132,149,0.8859060402625107,Infrequent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,Fear,17098.727055,0.7976128697457188,1693.3516841211435,3533,1204,1521,0.7915844838916558,Frequent
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,Neutral,-1.0,0.0,6070.2,5,0,0,0.0,Infrequent
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,Greed,1793.1602149999999,1.0,31941.660000000003,5,0,1,0.0,Infrequent
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,Fear,29970.928216,0.9106145251396648,10836.90096830986,1136,0,0,0.0,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,Greed,121880.386016,0.829578278451762,483.5901143386898,6472,843,1078,0.7820037105744138,Frequent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,Fear,10435.095669,0.896888346552776,533.2378127759788,6794,740,357,2.072829131646855,Frequent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,Greed,52215.729448,0.7903930131004366,2941.8256880733943,763,0,0,0.0,Frequent
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,Fear,116412.254606,0.8248905565978737,3205.000631323351,2471,0,0,0.0,Frequent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,Greed,0.0,0.0,159.0,3,0,0,0.0,Infrequent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,Greed,0.0,0.0,23066.935,2,0,0,0.0,Infrequent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,Greed,-5564.01614,0.4090909090909091,3048.5944444444444,27,0,1,0.0,Infrequent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,Neutral,215.754798,0.38095238095238093,767.24775,80,35,26,1.346153846102071,Infrequent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,Greed,36993.371011,0.9605263157894737,2583.170064102564,156,64,79,0.8101265822682262,Infrequent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,Fear,-59349.677108,0.36220472440944884,1648.5575358166188,349,4,192,0.02083333333322483,Infrequent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,Greed,34983.381862,0.987012987012987,4554.800138888889,144,30,49,0.6122448979466889,Infrequent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,Fear,-20526.462526,0.650887573964497,4800.430827285922,3445,40,15,2.6666666664888887,Frequent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,Greed,7612.618288,1.0,2786.4265445026176,191,11,0,11000000000.0,Infrequent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,Fear,45883.628955,1.0,4338.219787234042,141,58,79,0.73417721518058,Infrequent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,Greed,16102.56859,1.0,6480.62816,125,1,0,999999999.9999999,Infrequent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,Fear,183403.024142,1.0,4563.756162790698,258,21,0,21000000000.0,Infrequent
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,Greed,0.0,0.0,1136.3127272727272,88,88,0,88000000000.0,Infrequent
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,Neutral,145563.448374,1.0,1759.9534939759035,249,0,0,0.0,Infrequent
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,Greed,160450.518105,1.0,6742.71976744186,43,0,15,0.0,Infrequent
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,Fear,110527.905862,1.0,2807.6623994038746,671,0,0,0.0,Infrequent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,Greed,69282.42904,0.8543226684819605,494.23683912691996,3711,608,393,1.547073791344664,Frequent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,Fear,32683.214094,0.7992442135096836,541.9522812702527,4629,419,395,1.0607594936682005,Frequent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,Greed,61076.167808,0.9375,8444.161189024391,328,1,9,0.11111111109876542,Infrequent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,Fear,613327.827224,0.975168132436627,8998.349072517078,3806,13,0,13000000000.0,Frequent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,Greed,-7919.471032000002,0.8517110266159695,6219.798493150685,730,0,0,0.0,Infrequent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,Neutral,-25991.506339,0.8732394366197183,10190.317929717341,1309,0,0,0.0,Frequent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,Greed,111230.498007,0.8789308176100629,19645.16682912507,1703,0,0,0.0,Frequent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,Fear,223968.37089299998,0.9773030707610146,20468.303636606903,3737,0,0,0.0,Frequent
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,Greed,0.0,0.0,3261.5788789237668,223,223,0,223000000000.0,Infrequent
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,Fear,403501.648209,0.8955613577023499,28304.44506318158,5777,292,464,0.6293103448262299,Frequent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,Greed,101539.274031,1.0,525.47136,250,0,250,0.0,Infrequent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,Fear,6979.340871,0.9685534591194969,891.0710664335664,572,257,74,3.4729729729260406,Infrequent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,Greed,327545.999992,1.0,16311.138465346536,202,0,0,0.0,Infrequent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,Fear,98269.195073,0.8577405857740585,8098.078723175966,932,140,50,2.799999999944,Frequent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,Greed,51737.579418,1.0,2305.200429594272,419,0,1,0.0,Infrequent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,Fear,341945.434741,0.775,2123.4002662406815,939,16,0,15999999999.999998,Frequent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,Greed,187842.08419,0.9586840091813313,3677.8091055573827,3041,0,1,0.0,Frequent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,Neutral,0.16271999999999998,0.3333333333333333,34.916666666666664,6,0,0,0.0,Infrequent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,Greed,37526.331877,0.9339305711086227,2056.391348425197,1016,8,23,0.3478260869413989,Frequent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,Fear,136208.043913,0.9123012160898035,2330.3033080859777,4885,0,11,0.0,Frequent
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,Fear,14781.443047,0.944743935309973,3643.361287001287,1554,43,50,0.8599999999828001,Frequent
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,Greed,0.0,0.0,2333.2533333333336,15,15,0,15000000000.0,Infrequent
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,Fear,196303.792847,0.8191985088536813,2249.731112565445,3056,0,13,0.0,Frequent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,Greed,11.717676000000012,0.2857142857142857,933.2848148148149,54,39,0,39000000000.0,Infrequent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,Fear,64510.169958,0.8896952104499274,6453.556398446171,1802,850,454,1.8722466960311184,Frequent
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,Neutral,-9125.157325,0.7425149700598802,772.3728871391077,3810,0,0,0.0,Frequent
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,Greed,39978.37791,0.8890577507598785,1376.8141407982262,1804,10,44,0.227272727267562,Frequent
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,Fear,46257.358187,0.84,658.3625776508391,5602,3,6,0.49999999991666666,Frequent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,Greed,8695.357326,1.0,2936.1985911602205,724,588,1,587.999999412,Infrequent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,Fear,100502.420808,0.9747899159663865,3430.149134615385,2080,207,0,207000000000.0,Frequent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,Greed,49180.714882,0.9729580573951435,1636.15022559962,4211,0,0,0.0,Frequent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,Fear,40314.808014,0.9623865110246433,1157.8793541082598,9274,0,0,0.0,Frequent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,Neutral,-14505.50575,0.0,7877.326666666667,39,13,4,3.2499999991875,Infrequent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,Greed,67900.247545,0.9872611464968153,1684.2025795053005,283,123,153,0.8039215686221967,Infrequent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,Fear,19451.742477,0.9130434782608695,820.6771578947369,95,0,92,0.0,Infrequent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,Greed,20925.513222,1.0,3387.3391578947367,190,44,58,0.7586206896420928,Infrequent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,Fear,8751.751449,1.0,3072.9576923076925,182,0,0,0.0,Infrequent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,Greed,55.01524,1.0,1862.9299999999998,9,0,0,0.0,Infrequent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,Fear,21703.816512999998,0.7456140350877193,8441.060742857142,525,66,60,1.0999999999816668,Infrequent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,Greed,155.50335699999994,0.5942028985507246,11034.799511025887,1043,0,0,0.0,Frequent
